name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
Private Room in the center of Park Slope,Brooklyn,Park Slope,40.66854,-73.98419,Private room,40,4,4,0.17,3,0
Entire APT in Center of Park Slope Brooklyn,Brooklyn,South Slope,40.66752,-73.9849,Entire home/apt,90,6,2,0.06,3,0
"Big Private Room in shared apt in Rego Park, NY",Queens,Rego Park,40.73086,-73.85663,Private room,44,2,12,0.53,1,0
Sunny & quiet family apartment in BK,Brooklyn,Bedford-Stuyvesant,40.69574,-73.9515,Entire home/apt,150,4,11,0.29,1,0
Charm&Quiet in Hip Greenpt Brooklyn,Brooklyn,Greenpoint,40.73319,-73.95623,Private room,110,1,4,0.18,1,0
Cozy 1 Bedroom at a Very Convenient Location!,Queens,Sunnyside,40.74266,-73.91884,Entire home/apt,140,2,4,0.17,1,0
Apartment in Riverdale NY,Bronx,Fieldston,40.89701,-73.89778,Entire home/apt,109,2,1,1.0,1,192
Sunny and Spacious!Awesome Central Harlem 2br,Manhattan,East Harlem,40.80641,-73.94114,Entire home/apt,237,3,45,2.18,1,89
"❤️ of Wburg, Private Living+Entrance",Brooklyn,Williamsburg,40.7188,-73.95775,Private room,139,2,6,0.12,3,36
"❤️ of Wburg, 2.5 Rms, Sep Entrances",Brooklyn,Williamsburg,40.71947,-73.95677,Entire home/apt,219,30,3,0.09,3,36
"❤️ of Williamsburg, Private Entrance",Brooklyn,Williamsburg,40.71927,-73.95591,Private room,129,2,129,1.67,3,36
NYC East Village 1 BR / Studio,Manhattan,East Village,40.72546,-73.98396,Entire home/apt,179,1,20,2.65,1,268
East Village Apartment,Manhattan,East Village,40.72704,-73.98783,Entire home/apt,195,1,4,0.09,1,0
Duplex Apartment,Brooklyn,Bedford-Stuyvesant,40.68652,-73.93506,Entire home/apt,98,30,13,0.32,3,140
Apartment - private kitchen & bath,Brooklyn,Bedford-Stuyvesant,40.68975,-73.9346,Entire home/apt,78,30,81,1.33,3,188
Bedstuy Apartment for Rent,Brooklyn,Bedford-Stuyvesant,40.68852,-73.93588,Entire home/apt,90,30,62,1.2,3,280
Room for travel and work,Queens,Flushing,40.75728,-73.80072,Private room,70,2,2,1.58,1,315
Quiet & spacious east village/LES private bedroom,Manhattan,Lower East Side,40.72131,-73.98508,Private room,150,2,1,0.37,1,0
Luxury 1BR with Private Outdoor Patio,Brooklyn,Bushwick,40.69648,-73.92742,Entire home/apt,120,2,5,0.23,1,0
Light-Filled Loft (Morgan L),Brooklyn,Williamsburg,40.70647,-73.93265,Private room,64,3,10,0.27,1,0
"Sunny bedroom, cozy townhouse in Buschwick",Brooklyn,Bushwick,40.6948,-73.92253,Private room,75,2,80,3.11,1,3
3 Bedroom Apt in Times Square,Manhattan,Hell's Kitchen,40.76299,-73.99478,Entire home/apt,400,3,1,1.0,1,278
Bright Home in Heart of Brooklyn,Brooklyn,Crown Heights,40.6683,-73.94977,Entire home/apt,110,1,5,0.12,3,0
Cozy Room in the Heart of Brooklyn!,Brooklyn,Crown Heights,40.66898,-73.9514,Private room,55,2,47,0.98,3,0
Sunny spacious 3 BR/ 2Bth in Bayside townhouse,Queens,Bay Terrace,40.77995,-73.78506,Entire home/apt,184,3,146,2.46,1,143
Big room in East Harlem apartment,Manhattan,East Harlem,40.7977,-73.93736,Private room,65,28,1,0.03,1,0
Cosy North Bronx studio apartment with Parking,Bronx,Wakefield,40.89121,-73.85131,Entire home/apt,79,3,18,0.57,1,5
Cutepraise home in queens,Queens,St. Albans,40.69064,-73.76009,Private room,60,2,15,2.27,1,356
Gorgeous UWS apt with OWN full bath,Manhattan,Upper West Side,40.78398,-73.97795,Private room,119,4,7,0.12,2,0
Spacious & Comfy BK Brownstone,Brooklyn,Crown Heights,40.66788,-73.94813,Entire home/apt,99,4,90,0.94,1,56
Adorable walk-up on the high line—with views!,Manhattan,Chelsea,40.75024,-74.00213,Entire home/apt,175,4,3,1.11,1,15
SPACIOUS BEDROOM AND PRIVATE BATH!!!,Manhattan,East Harlem,40.7916,-73.94686,Private room,115,3,242,3.69,1,55
Great 1 bedroom apartment in Manhattan,Manhattan,Washington Heights,40.84393,-73.93979,Entire home/apt,100,5,11,0.47,1,22
Airy studio in south Park Slope,Brooklyn,Gowanus,40.66926,-73.991,Entire home/apt,142,1,8,0.29,1,0
Gone with the Wind,Queens,Sunnyside,40.74215,-73.92633,Entire home/apt,199,5,91,3.48,2,57
Apt. & the City.,Queens,Sunnyside,40.74026,-73.92517,Entire home/apt,199,4,63,2.81,2,61
Room in the heart of Williamsburg,Brooklyn,Williamsburg,40.71608,-73.95967,Private room,60,3,1,0.02,1,0
"Spacious, Sunny, and quiet sanctuary in FlatbushBK",Brooklyn,Flatbush,40.65164,-73.95533,Entire home/apt,120,4,1,0.48,1,0
WEST VILLAGE Bohemian flat in neo-Tudor town house,Manhattan,West Village,40.73389,-74.00646,Entire home/apt,285,3,12,1.76,5,313
WEST VILLAGE Bohemian flat in neo-Tudor town house,Manhattan,West Village,40.73181,-74.00606,Entire home/apt,300,3,21,5.25,5,308
WEST VILLAGE Bohemian flat in neo-Tudor town house,Manhattan,West Village,40.73367,-74.00497,Entire home/apt,250,3,2,0.88,5,265
WEST VILLAGE Bohemian flat in neo-Tudor town house,Manhattan,West Village,40.73326,-74.00511,Entire home/apt,250,3,5,2.24,5,255
Big Bedroom in Sunny & New Lower East Side Apt,Manhattan,Lower East Side,40.71891,-73.98592,Private room,170,5,22,0.38,1,259
Entire Apt for 9Guests near Subway-20mins Times Sq,Queens,Ditmars Steinway,40.77108,-73.91378,Entire home/apt,100,2,25,3.55,1,294
Cozy Room in the Upper East Side,Manhattan,East Harlem,40.79252,-73.94055,Private room,49,3,8,4.07,1,16
Cozy Private studio-apartment,Manhattan,East Harlem,40.79714,-73.93685,Entire home/apt,112,1,66,4.78,1,16
NYC Hotel (Enjoy top tier membership benefits),Manhattan,Midtown,40.76347,-73.978,Entire home/apt,1000,1,3,0.12,2,90
Manhattan Hotel Room,Manhattan,Midtown,40.76305,-73.97841,Entire home/apt,800,1,19,0.69,2,0
"Greenpoint, Brooklyn - Spacious Private Room",Brooklyn,Greenpoint,40.7355,-73.95677,Private room,75,28,3,0.11,1,0
"Beautiful, spacious loft in Clinton Hill",Brooklyn,Bedford-Stuyvesant,40.69284,-73.96065,Entire home/apt,130,3,4,0.31,1,7
"Huge 1br, 22min to Manhattan, steps to Prospect Pk",Brooklyn,Flatbush,40.64913,-73.96379,Entire home/apt,130,1,45,0.86,1,7
Large private br in renovated apt/close to subway,Manhattan,Upper East Side,40.77473,-73.94859,Private room,69,2,11,0.19,1,240
"Private Room, Upper East Side",Manhattan,Upper East Side,40.77549,-73.95196,Private room,235,1,2,0.04,1,0
Summer Special-Near Bronx Zoo/Botanic Garden/Metro,Bronx,Pelham Gardens,40.86673,-73.845,Entire home/apt,119,3,75,2.74,1,146
Sleeps 6 by Metro/Subway - 15 mns to Manhattan,Brooklyn,Bedford-Stuyvesant,40.68204,-73.95642,Entire home/apt,180,3,50,0.97,3,365
Clean Room by Metro/Subway -15mns to Manhattan,Brooklyn,Bedford-Stuyvesant,40.68206,-73.95441,Private room,80,2,100,1.73,3,365
Big Room by Metro/Subway-15mns to Manhattan,Brooklyn,Bedford-Stuyvesant,40.68137,-73.9565,Private room,75,2,99,1.67,3,365
"BRIGHT, chic, Huge room with PRIVATE BATHROOM",Brooklyn,Bedford-Stuyvesant,40.68268,-73.93055,Private room,75,1,12,5.37,1,60
"Quiet, Sun-Filled, 1BR Williamsburg Apt",Brooklyn,Williamsburg,40.71633,-73.94138,Entire home/apt,200,1,5,0.66,1,0
Cuarto acogedor para gente que quiera disfrutar NY,Queens,Flushing,40.76398,-73.82426,Private room,40,2,1,0.32,1,153
Great Modern Studio in Chelsea!,Manhattan,Chelsea,40.74066,-73.99895,Entire home/apt,75,1,132,4.58,1,317
Private Room in Williamsburg Apartment,Brooklyn,Williamsburg,40.71151,-73.94396,Private room,63,3,1,0.14,1,0
Modern & Cozy 1BD Garden Apt,Manhattan,Harlem,40.81511,-73.94315,Entire home/apt,115,3,64,1.05,2,211
Stylish & Spacious 1BD in Central Harlem!,Manhattan,Harlem,40.81537,-73.94067,Entire home/apt,135,3,21,1.13,2,75
Cozy Studio in the heart of NYC,Manhattan,Kips Bay,40.74469,-73.98037,Entire home/apt,120,2,5,2.05,1,10
Entire Apartment - charming 1BR-20min to Downtown,Brooklyn,Bedford-Stuyvesant,40.67879,-73.93653,Entire home/apt,125,2,191,3.27,2,311
"A 2-story, 2-bedroom house - 20min to Downtown",Brooklyn,Bedford-Stuyvesant,40.68043,-73.93705,Entire home/apt,210,2,10,0.21,2,180
Queen of Elevated Castle,Manhattan,Hell's Kitchen,40.76492,-73.99128,Private room,150,1,119,3.29,2,316
California King of Elevated Castle,Manhattan,Hell's Kitchen,40.76404,-73.9926,Private room,175,2,120,3.3,2,308
The Astoria House: private 1B apt in NYC,Queens,Ditmars Steinway,40.77148,-73.9138,Entire home/apt,170,2,56,2.91,1,305
Upper West Side Manhattan,Manhattan,Upper West Side,40.80309,-73.96568,Private room,100,4,1,0.16,1,341
Room in Heart of NYC Art & Nightlife !,Manhattan,Nolita,40.72214,-73.99675,Private room,75,3,9,2.73,1,67
"Tidy, Private Room in Brooklyn, a Commuter's Dream",Brooklyn,Fort Greene,40.68445,-73.97168,Private room,95,2,54,1.44,1,0
Bed-Stuy Little Gem,Brooklyn,Bedford-Stuyvesant,40.67907,-73.9498,Entire home/apt,150,2,8,1.27,1,6
Your Private Sunny Studio Apt in Crown Heights,Brooklyn,Crown Heights,40.67577,-73.95751,Entire home/apt,70,3,3,0.15,1,0
Mid-Mod 1 Bedroom Washington Heights NYC,Manhattan,Washington Heights,40.84855,-73.93704,Entire home/apt,250,2,1,0.05,1,0
Elegant & Cozy Room in Hell's Kitchen,Manhattan,Hell's Kitchen,40.76802,-73.9906,Private room,130,2,5,0.71,1,78
Sunlit Room in Brooklyn Brownstone,Brooklyn,Clinton Hill,40.6868,-73.96517,Private room,80,5,1,0.03,1,0
Beautiful apartment direct in Midtown Manhattan,Manhattan,Hell's Kitchen,40.76254,-73.98812,Private room,150,3,54,2.67,3,24
Shareroom in Midtown Manhattan 1or2 beds Available,Manhattan,Hell's Kitchen,40.7614,-73.98682,Shared room,68,3,9,0.45,3,0
Modern Room in the heart of Manhattan(just female),Manhattan,Theater District,40.76069,-73.9863,Private room,99,3,46,2.49,3,25
Brownstone Beauty with Deck,Brooklyn,Bedford-Stuyvesant,40.68543,-73.93838,Entire home/apt,150,10,10,0.17,2,185
Garden - Brownstone Experience,Brooklyn,Bedford-Stuyvesant,40.68559,-73.93896,Entire home/apt,250,15,37,0.52,2,54
Small but cozy room near Park and Subway,Brooklyn,South Slope,40.66458,-73.98722,Private room,53,3,70,2.82,1,256
NYC Studio in Heart of Times Square,Manhattan,Hell's Kitchen,40.76166,-73.99675,Entire home/apt,179,30,83,0.88,1,292
Beautiful 2BD in Brooklyn Heights,Brooklyn,Brooklyn Heights,40.691,-73.99467,Entire home/apt,220,5,3,0.13,1,186
NYCHaven1: Entire House for less than a hotel room,Brooklyn,East Flatbush,40.65422,-73.93784,Entire home/apt,165,1,232,5.18,4,231
NYCHaven4:Entire house minutes from JFK and Casino,Queens,South Ozone Park,40.67321,-73.79247,Entire home/apt,195,1,239,6.31,4,256
NYCHaven3: Entire House for less than a hotel room,Brooklyn,East Flatbush,40.65146,-73.93966,Entire home/apt,135,1,193,4.87,4,270
NYCHaven2: Entire House for less than a hotel room,Brooklyn,East Flatbush,40.65382,-73.93903,Entire home/apt,165,1,216,5.49,4,194
Brownstone Jewel in Crown Heights,Brooklyn,Crown Heights,40.67673,-73.95311,Entire home/apt,171,3,77,2.72,2,244
Brownstone Parlor in Crown Heights,Brooklyn,Crown Heights,40.6764,-73.95497,Entire home/apt,171,3,61,2.59,2,267
Lovely and affordable place in the Bronx,Bronx,Hunts Point,40.81415,-73.88671,Private room,36,1,9,4.09,2,97
Lovely and affordable place in the Bronx,Bronx,Hunts Point,40.81258,-73.88566,Private room,40,1,11,5.08,2,121
Private Room near to Manhattan,Queens,Astoria,40.76799,-73.90995,Private room,65,1,6,1.96,1,31
Charming 2BR apt in prime Williamsburg Brooklyn,Brooklyn,Williamsburg,40.71243,-73.96067,Entire home/apt,140,2,3,0.17,1,0
2 bedroom apt in charming brick townhouse,Brooklyn,Fort Greene,40.69778,-73.97676,Entire home/apt,145,3,110,1.2,1,15
Small & comfy Bedroom near Brooklyn college.,Brooklyn,Flatbush,40.6355,-73.95205,Private room,60,1,12,1.34,1,90
East Village Bright & Spacious Artist Loft,Manhattan,East Village,40.72434,-73.97715,Entire home/apt,120,29,10,0.17,1,3
3 story Home in NYC-upper east side,Manhattan,Upper East Side,40.78401,-73.94863,Entire home/apt,675,5,3,0.05,1,0
Skyline View Piano Room,Brooklyn,Greenpoint,40.73262,-73.95795,Private room,55,1,24,0.44,1,157
Newly Renovated 1 BR,Manhattan,Lower East Side,40.7195,-73.99416,Private room,167,5,32,0.39,1,341
Essential Lower East Side,Manhattan,Lower East Side,40.72201,-73.98775,Entire home/apt,175,3,14,1.86,1,51
"Bright, spacious and cozy",Brooklyn,Crown Heights,40.66588,-73.95677,Entire home/apt,140,3,60,1.34,1,37
Private room with your own backyard,Brooklyn,Gowanus,40.67705,-73.99607,Private room,65,1,3,0.06,2,0
Brooklyn Beauty w/private garden!,Brooklyn,Carroll Gardens,40.67857,-73.99485,Entire home/apt,140,3,3,0.06,2,0
1BD brownstone apt in Fort Greene!,Brooklyn,Fort Greene,40.68935,-73.9695,Entire home/apt,120,3,22,0.27,1,189
Chill Room in soho,Manhattan,SoHo,40.72182,-73.99963,Private room,134,1,3,0.36,1,70
"2 bedroom apt in Brooklyn, downtown",Brooklyn,Fort Greene,40.69353,-73.97431,Entire home/apt,350,3,27,1.0,1,303
Charming Apartment With View,Manhattan,Harlem,40.82546,-73.95292,Entire home/apt,90,10,6,0.18,1,6
BEAUTIFUL CONDO IN TIMES SQUARE ,Manhattan,Theater District,40.76054,-73.98508,Entire home/apt,200,30,11,0.18,1,363
Huge bedroom in Brooklyn duplex!,Brooklyn,Crown Heights,40.67195,-73.95535,Private room,70,3,8,0.17,1,0
Spacious Artist's Apartment,Brooklyn,Bushwick,40.69983,-73.92981,Private room,90,2,5,0.15,1,0
Sunny & Cheery Bronx Home - with Chickens!,Bronx,Mott Haven,40.8084,-73.92037,Entire home/apt,115,2,36,3.12,1,114
Bright Loft Apt w Skylight in Wburg,Brooklyn,Williamsburg,40.70839,-73.94289,Entire home/apt,120,6,66,0.72,2,17
"Big Apt for Funky Art /Music Lovers, Outdoor Patio",Brooklyn,Williamsburg,40.70736,-73.94331,Entire home/apt,157,4,54,0.66,2,12
Spacious Bed and Bathroom in Brooklyn,Brooklyn,Sheepshead Bay,40.60913,-73.95254,Private room,100,1,1,0.03,1,0
Spend Your Fall in Bed-Stuy,Brooklyn,Bedford-Stuyvesant,40.68227,-73.93305,Private room,52,2,1,0.02,1,0
ROOM AVAILABLE IN NEW YORK CITY,Manhattan,Upper East Side,40.77548,-73.95183,Private room,145,5,2,0.09,1,365
"Bushwick, Prvt Room/Prvt Bath, 20mins to Manhattan",Brooklyn,Bushwick,40.6988,-73.91388,Private room,85,1,2,0.27,1,0
*Luxurious* Sparkling Clean Two Bedroom Apartment,Manhattan,Hell's Kitchen,40.76578,-73.98383,Entire home/apt,499,3,26,2.5,1,0
"Spacious private bedroom in Park Slope, Brooklyn.",Brooklyn,Gowanus,40.6812,-73.98186,Private room,85,3,2,0.15,1,0
Newly Renovated Cozy studio in lower east side #9,Manhattan,Lower East Side,40.72192,-73.9928,Entire home/apt,150,30,3,0.24,9,310
Lower East Side - Perfect Escape in NYC! #6,Manhattan,Lower East Side,40.72145,-73.99257,Entire home/apt,240,30,3,0.45,9,199
Lower East Side Newly renovated! #7,Manhattan,Lower East Side,40.72268,-73.99205,Entire home/apt,250,30,3,0.37,9,264
Lower East Side - Amazing location! #10,Manhattan,Lower East Side,40.7224,-73.99268,Entire home/apt,220,30,2,0.16,9,298
Lower East Side- Perfect 1 Bedroom! #12,Manhattan,Lower East Side,40.7211,-73.99321,Entire home/apt,180,30,2,0.16,9,151
NEWLY RENOVATED Studio #8,Manhattan,Lower East Side,40.72264,-73.9912,Entire home/apt,150,30,2,0.77,9,302
Lower East Side - Lovely Studio! #14,Manhattan,Lower East Side,40.72147,-73.99181,Entire home/apt,170,30,4,0.3,9,281
Lower East Side Studio Escape #4,Manhattan,Lower East Side,40.72083,-73.99308,Entire home/apt,150,30,1,0.1,9,226
Stylish Studio Perfect Location-Empire State,Manhattan,Midtown,40.74673,-73.98499,Entire home/apt,250,5,59,5.82,1,58
Spacious West Village Studio,Manhattan,West Village,40.73378,-74.00272,Entire home/apt,1115,3,2,0.38,1,0
Beautiful and Cozy Space,Manhattan,Upper West Side,40.80052,-73.9706,Private room,100,2,8,1.06,1,0
Huge and beautiful Park Slope Apt,Brooklyn,Park Slope,40.66977,-73.98305,Entire home/apt,155,29,5,0.08,1,59
Huge Charming One Bedroom Apartment,Manhattan,Upper East Side,40.77374,-73.95684,Entire home/apt,265,2,6,0.18,1,364
Monthly**Lux 2bed/2bath* Flatiron Midtown Doorman!,Manhattan,Midtown,40.74472,-73.98526,Entire home/apt,306,30,2,1.3,1,320
Convenient & Cozy Upper East Side Apartment,Manhattan,Upper East Side,40.7593,-73.95967,Private room,246,1,10,0.42,1,365
Fort Greene Perfect Location,Brooklyn,Fort Greene,40.69056,-73.98038,Entire home/apt,150,3,1,0.02,1,0
Private & comfortable room near Prospect Park,Brooklyn,Prospect-Lefferts Gardens,40.65783,-73.9563,Private room,100,2,90,2.95,2,0
Private light filled room in spacious apartment,Brooklyn,Prospect-Lefferts Gardens,40.65626,-73.9577,Private room,75,4,6,0.39,2,0
"Clean, bright, renovated apt in Lower East Side",Manhattan,Lower East Side,40.71983,-73.98801,Entire home/apt,140,5,8,0.16,1,0
Upper East Side Oversized Studio,Manhattan,Upper East Side,40.78285,-73.94875,Entire home/apt,129,30,2,0.08,1,0
Cozy duplex in trendy Brooklyn neighbourhood.,Brooklyn,Prospect Heights,40.67649,-73.96499,Private room,80,2,28,4.35,1,82
Room in a cozy Brooklyn apartment,Brooklyn,Bedford-Stuyvesant,40.67897,-73.94192,Private room,41,3,1,1.0,1,57
Spacious apt in heart of Downtown!,Manhattan,Greenwich Village,40.72848,-74.00116,Private room,200,1,5,0.47,1,0
Beautiful and comfortable Upper East Side location,Manhattan,Upper East Side,40.76063,-73.95938,Entire home/apt,140,3,1,1.0,1,0
Huge Room in Lower East Side Loft,Manhattan,Lower East Side,40.71846,-73.98672,Private room,80,4,3,0.06,1,0
"Big, Quiet Apartment with Two Cats, Central Park",Manhattan,Upper West Side,40.79702,-73.96256,Entire home/apt,144,3,2,2.0,1,0
"Modern 3 BR home, 4 blocks from Public Transport!",Brooklyn,East Flatbush,40.65565,-73.93573,Entire home/apt,280,3,3,0.33,1,0
Charming Brownstone 3 - Near PRATT,Brooklyn,Bedford-Stuyvesant,40.68111,-73.95591,Entire home/apt,110,7,61,0.52,1,265
Apartment in Tribeca with huge private terrace,Manhattan,Tribeca,40.71793,-74.00594,Entire home/apt,160,1,8,0.73,1,0
Quiet Sanctuary right by the Subway,Brooklyn,Clinton Hill,40.68443,-73.96737,Private room,77,2,12,0.25,1,0
⚡Quiet Home in Center of Village,Manhattan,Greenwich Village,40.72938,-73.99955,Entire home/apt,249,2,1,1.0,1,146
The Stop at Fordham Manor,Bronx,Fordham,40.8667,-73.89115,Private room,70,1,5,1.76,1,364
Lovely 3 Story Cottage in Park Slope,Brooklyn,South Slope,40.66672,-73.98462,Entire home/apt,250,3,2,0.04,1,0
Cosy studio / newly renovated,Manhattan,Two Bridges,40.71183,-73.99685,Entire home/apt,175,4,3,0.08,1,0
Design-Infused Two Bed Beauty in Fort Greene,Brooklyn,Fort Greene,40.69135,-73.97044,Entire home/apt,240,3,15,0.78,1,0
Hell's Kitchen Hideaway,Manhattan,Hell's Kitchen,40.75926,-73.99304,Entire home/apt,125,2,104,2.63,1,5
World Trade Center NYC Loft,Manhattan,Financial District,40.70886,-74.00885,Entire home/apt,189,3,2,2.0,1,339
Modern Apartment in NOHO / SOHO,Manhattan,NoHo,40.7256,-73.99555,Private room,125,1,3,0.06,1,0
Nolita: 1BR with private bathroom,Manhattan,Nolita,40.72011,-73.99468,Private room,100,15,5,0.08,1,197
"Gay friendly private room, 20 minutes to Manhattan",Queens,Jackson Heights,40.75103,-73.8913,Private room,85,1,2,2.0,1,42
Unique bohemian modern apartment,Brooklyn,Williamsburg,40.71705,-73.96545,Entire home/apt,275,30,2,0.68,1,77
Beautiful Private Apt Times Square,Manhattan,West Village,40.73342,-74.00615,Entire home/apt,200,4,10,0.25,1,0
one large private bedroom/ two bedroom apartment,Brooklyn,Williamsburg,40.70217,-73.93737,Private room,60,4,3,0.09,2,25
A Fantastic Master Bedroom Suite in a 3BD apt,Brooklyn,Bedford-Stuyvesant,40.69411,-73.93987,Private room,85,2,1,0.05,1,0
Pent House Studio Minutes From Manhattan,Brooklyn,Flatbush,40.65401,-73.96212,Entire home/apt,125,1,22,1.8,1,93
"""Off the Beaten Path"" NYC OASIS",Staten Island,Clifton,40.62375,-74.07373,Entire home/apt,75,5,81,2.04,1,155
Entire Contemporary Bronx home,Bronx,Fordham,40.86906,-73.88753,Entire home/apt,200,2,1,1.0,1,32
Sun Drenched Spacious Loft in NYCs Trendiest Hood,Manhattan,Lower East Side,40.72077,-73.99023,Entire home/apt,205,3,102,3.36,1,117
Affordable Bedroom in Brooklyn,Brooklyn,Crown Heights,40.66838,-73.93134,Private room,50,4,28,0.95,1,0
Luminous Beautiful West Village Studio,Manhattan,West Village,40.73442,-74.00303,Entire home/apt,115,29,26,0.25,1,12
Cozy Central Park West Brownstone,Manhattan,Upper West Side,40.78624,-73.96952,Entire home/apt,96,3,2,0.1,1,0
"Airy, Modern, Large Room W'burg two blocks subway",Brooklyn,Williamsburg,40.71508,-73.94586,Private room,100,4,38,1.06,1,10
Charming 2 BR Walk-up in a Private Victorian House,Brooklyn,Flatbush,40.63231,-73.96314,Entire home/apt,125,3,40,2.02,1,0
"Kew Gardens, New York",Queens,Kew Gardens,40.70847,-73.82961,Entire home/apt,150,6,3,0.12,1,36
Artist's Loft,Manhattan,East Village,40.72295,-73.98246,Entire home/apt,135,4,4,0.09,1,0
Bed room close to NYC⬆︎ with lots of sun light☀️,Queens,Elmhurst,40.73655,-73.87762,Private room,40,29,2,0.55,5,32
ONE Bed Room ￫￫￫20mins to Manhattan ☆彡 Wow! COZY!,Queens,Woodside,40.74824,-73.89961,Private room,30,29,1,0.3,5,1
★☆Sunnyside☆-Locals' favorite neighbor for living-,Queens,Sunnyside,40.73998,-73.92619,Private room,40,29,1,0.11,5,0
Cozy accommodation in Queens for MAX 2 people,Queens,Elmhurst,40.74316,-73.87285,Private room,40,29,2,0.29,5,1
2min to SubwayM/R easy commute to Manhattan,Queens,Elmhurst,40.73534,-73.87767,Private room,35,29,3,0.87,5,2
Shu's home,Brooklyn,Clinton Hill,40.68895,-73.96259,Entire home/apt,130,2,49,2.3,1,211
Cozy Room in Family Home..BKLYN!!!,Brooklyn,Bedford-Stuyvesant,40.68671,-73.93346,Private room,52,2,203,3.13,1,323
"Chic and Spacious 1BD, minutes from Times Sq!",Manhattan,Hell's Kitchen,40.76458,-73.99007,Private room,102,1,49,1.7,1,134
Dash Production loft,Brooklyn,Crown Heights,40.67041,-73.9463,Private room,239,1,1,0.58,1,364
Charming town of Tottenville right outside NYC,Staten Island,Tottenville,40.50943,-74.24442,Entire home/apt,70,3,1,1.0,1,128
"Big, Sunny 1 Bed- Roof Top Access-Central Location",Brooklyn,Prospect Heights,40.67657,-73.96465,Private room,75,2,7,4.2,1,17
Cozy 1Bedroom Loft Style living (The entire Floor),Brooklyn,Bedford-Stuyvesant,40.68294,-73.95451,Entire home/apt,150,3,26,3.79,1,93
Mid-Century Modern 1 BR with Stunning Views,Manhattan,Civic Center,40.71237,-74.00747,Entire home/apt,100,2,3,0.46,1,0
Newly Renovated Apartment 47 Buffalo 3F Room#2,Brooklyn,Bedford-Stuyvesant,40.67864,-73.92362,Private room,60,1,4,4.0,2,166
Renovated  Master Bedroom 47 Buffalo 3F Room#1,Brooklyn,Bedford-Stuyvesant,40.67815,-73.92534,Private room,60,1,1,1.0,2,147
Penthouse duplex on Bowery with huge terrace.,Manhattan,East Village,40.72709,-73.99074,Entire home/apt,545,2,1,1.0,1,177
Cozy room in unique artsy apartment,Manhattan,Washington Heights,40.83891,-73.93758,Private room,45,1,10,0.19,1,0
BEAUTIFUL 1bd/1bath available in Williamsburg,Brooklyn,Williamsburg,40.70851,-73.95443,Private room,80,4,2,0.77,1,66
Dekalb Ave. #1L,Brooklyn,Bushwick,40.69933,-73.92463,Entire home/apt,105,2,31,2.34,1,353
Beautiful place sunny and quite,Queens,Ditmars Steinway,40.77388,-73.91598,Private room,125,1,6,0.17,1,0
hip Bed-Stuy large one bedroom,Brooklyn,Bedford-Stuyvesant,40.68462,-73.95429,Entire home/apt,180,3,1,0.24,1,158
Huge Sunny Morocco-Chic Music Pad,Brooklyn,Bedford-Stuyvesant,40.69506,-73.95019,Entire home/apt,145,3,41,1.0,1,0
Studio in Brooklyn Heights with Private Entrance,Brooklyn,Brooklyn Heights,40.69257,-73.99707,Entire home/apt,152,2,12,0.5,1,0
LARGE & CONVENIENT Private Room in Brooklyn,Brooklyn,Bedford-Stuyvesant,40.69422,-73.93288,Private room,39,4,58,3.16,2,32
Convenient PRIVATE ROOM in Brooklyn. Near station!,Brooklyn,Bedford-Stuyvesant,40.69455,-73.93445,Private room,34,4,35,2.36,2,5
"Cozy place in Astoria, 10min to Manhattan",Queens,Long Island City,40.75533,-73.93261,Entire home/apt,175,2,45,2.84,1,33
"Best SOHO LOCATION, 2 BEDROOMS",Manhattan,Nolita,40.72226,-73.99351,Entire home/apt,400,3,3,3.0,1,312
Spacious/ elegant one bed apt. - perfect location,Manhattan,Greenwich Village,40.72982,-74.00034,Entire home/apt,175,2,25,1.78,1,64
Manhattan-Bronx Large Studio Apt in Mott Haven,Bronx,Port Morris,40.80861,-73.93015,Entire home/apt,100,1,25,2.81,1,39
"Private, quiet spacious room with tons of sun!",Queens,Astoria,40.75572,-73.92632,Private room,70,3,74,1.38,2,285
Large Sunny Apartment in Astoria,Queens,Astoria,40.75583,-73.92596,Private room,120,3,18,0.33,2,0
Beautiful Bedford Bedroom.,Brooklyn,Williamsburg,40.71748,-73.95685,Private room,50,6,5,0.13,1,0
Central 1 bedroom in East Village NYC July Deal$$$,Manhattan,East Village,40.72896,-73.98111,Entire home/apt,158,3,10,1.58,1,323
"Brooklyn private room, by F,Gtrain",Brooklyn,Windsor Terrace,40.65015,-73.97945,Private room,38,30,77,1.28,11,309
Brooklyn private room,Brooklyn,Kensington,40.64423,-73.98224,Private room,40,30,43,0.87,11,99
Cozy Bright in Kensington by trains,Brooklyn,Kensington,40.64242,-73.98138,Private room,45,1,22,0.96,11,7
Cozy with a private bathroom bklyn,Brooklyn,Kensington,40.64237,-73.98048,Private room,45,1,41,1.41,11,22
"Bklyn private room and private bathrm by F,G train",Brooklyn,Kensington,40.64293,-73.98043,Private room,56,1,58,2.48,11,16
Cozy room and a private bathroom bklyn :),Brooklyn,Kensington,40.64388,-73.9813,Private room,45,1,52,2.47,11,42
Cozy Bright Brooklyn  by train,Brooklyn,Kensington,40.64386,-73.98195,Private room,42,1,95,2.69,11,148
